sentence,step,n_pairs,n_admitted,top_span,is_gold
"a man admired a quick small cat with a telescope",4,5,5,"(8, 9)",1
"a man admired a quick small cat with a telescope",5,4,4,"(0, 2)",1
"a man admired a quick small cat with a telescope",6,3,3,"(0, 2)",1
"a man admired a quick small cat with a telescope",7,2,2,"(0, 6)",1
"a man admired a quick small cat with a telescope",8,1,1,"(0, 9)",1
"a woman liked a small lazy dog in a dog",0,9,9,"(0, 1)",1
"a woman liked a small lazy dog in a dog",1,8,8,"(4, 5)",1
"a woman liked a small lazy dog in a dog",2,7,7,"(8, 9)",1
"a woman liked a small lazy dog in a dog",3,6,6,"(8, 9)",1
"a woman liked a small lazy dog in a dog",4,5,5,"(8, 9)",1
"a woman liked a small lazy dog in a dog",5,4,4,"(0, 2)",1
"a woman liked a small lazy dog in a dog",6,3,3,"(0, 2)",1
"a woman liked a small lazy dog in a dog",7,2,2,"(0, 6)",1
"a woman liked a small lazy dog in a dog",8,1,1,"(0, 9)",1
"the lazy red quick small dog admired",0,6,6,"(3, 4)",1
"the lazy red quick small dog admired",1,5,5,"(1, 2)",0
"the lazy red quick small dog admired",2,4,4,"(1, 4)",1
"the lazy red quick small dog admired",3,3,3,"(1, 5)",1
"the lazy red quick small dog admired",4,2,2,"(0, 5)",1
"the lazy red quick small dog admired",5,1,1,"(0, 6)",1
"a lazy quick lazy man chased",0,5,5,"(2, 3)",1
"a lazy quick lazy man chased",1,4,4,"(1, 3)",1
"a lazy quick lazy man chased",2,3,3,"(0, 3)",0
"a lazy quick lazy man chased",3,2,2,"(0, 4)",1
"a lazy quick lazy man chased",4,1,1,"(0, 5)",1
"a cat found",0,2,2,"(0, 1)",1
"a cat found",1,1,1,"(0, 2)",1
"the man found",0,2,2,"(0, 1)",1
"the man found",1,1,1,"(0, 2)",1
