sentence,gold_brackets,pred_brackets,tp,fp,fn
"a apple carried this boy near this boy","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"this curious tall curious book chased the apple","[(0, 4), (0, 5), (0, 7), (1, 3), (1, 4), (2, 3), (6, 7)]","[(0, 1), (0, 4), (0, 5), (0, 7), (2, 3), (2, 4), (6, 7)]",5,2,2
"that tall curious apple carried this curious blue tall boy","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]",9,0,0
"a book chased a curious ancient ancient teacher","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 6), (4, 7), (5, 6)]","[(0, 1), (0, 2), (0, 7), (3, 4), (3, 7), (5, 6), (5, 7)]",5,2,2
"this tall tall girl read with that blue ancient girl","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]",9,0,0
"the ancient curious robot liked this teacher","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"the teacher read this boy","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"that teacher read this apple","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"a ancient tall girl saw this teacher","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"the robot admired near this apple","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"the blue tall boy chased the boy","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"this teacher read without the teacher","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"that ancient tall book carried a boy","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"a boy saw that tall blue friendly apple","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 6), (4, 7), (5, 6)]","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 5), (4, 6), (4, 7)]",6,1,1
"a book saw near this apple","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"that girl liked without this girl","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"a teacher saw that girl","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"that curious friendly friendly book liked without the book","[(0, 4), (0, 5), (0, 8), (1, 3), (1, 4), (2, 3), (6, 8), (7, 8)]","[(0, 4), (0, 5), (0, 8), (1, 3), (1, 4), (2, 3), (6, 7), (6, 8)]",7,1,1
"that book read this blue friendly tall boy","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 6), (4, 7), (5, 6)]","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 5), (4, 6), (4, 7)]",6,1,1
"that book liked that blue friendly robot","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"that apple saw this boy","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"this blue blue apple liked a blue curious ancient robot","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]","[(0, 3), (0, 9), (1, 2), (1, 3), (4, 9), (5, 6), (5, 9), (7, 8), (7, 9)]",6,3,3
"that boy saw this book","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"this book read without a book","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"a boy liked with that book","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"the girl liked with that blue friendly curious teacher","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 8), (5, 7), (5, 8), (6, 7)]","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 8), (5, 6), (5, 7), (5, 8)]",7,1,1
"a boy read the friendly blue friendly ancient boy","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 7), (4, 8), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 8), (3, 4), (5, 6), (5, 7), (5, 8)]",4,4,4
"the book admired near the girl","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"a girl saw near the book","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"that tall friendly boy chased that tall curious book","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]",8,0,0
"the blue blue book saw the teacher","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"this blue curious robot carried with that boy","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 7), (5, 7), (6, 7)]",5,2,2
"this curious blue book read without the teacher","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]",7,0,0
"that boy liked a boy near a book","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"that curious ancient teacher read near this boy","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]",7,0,0
"that curious friendly curious book saw near the teacher","[(0, 4), (0, 5), (0, 8), (1, 3), (1, 4), (2, 3), (6, 8), (7, 8)]","[(0, 3), (0, 4), (0, 5), (0, 8), (1, 3), (2, 3), (6, 8), (7, 8)]",7,1,1
"the book that read without a boy read this boy","[(0, 6), (0, 7), (0, 9), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6), (8, 9)]","[(0, 1), (0, 9), (2, 3), (2, 9), (4, 6), (4, 7), (4, 9), (5, 6), (8, 9)]",4,5,5
"that book saw the ancient ancient teacher","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"a girl chased with this teacher that admired this book","[(0, 1), (0, 2), (0, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 5), (0, 9), (3, 5), (4, 5), (6, 9), (7, 9), (8, 9)]",6,3,3
"that friendly ancient book read a ancient blue boy","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 7), (5, 8), (6, 7)]",7,1,1
"a blue curious boy liked that girl","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"a blue ancient book read this robot","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 6), (1, 2), (1, 3), (4, 6), (5, 6)]",5,1,1
"that boy read a apple near the book","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"a tall blue girl chased that boy with that robot","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]",9,0,0
"that boy carried near a apple","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"that girl chased with a apple","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"this robot saw without the curious ancient blue friendly apple","[(0, 1), (0, 2), (0, 9), (3, 9), (4, 9), (5, 8), (5, 9), (6, 8), (7, 8)]","[(0, 1), (0, 2), (0, 9), (3, 9), (4, 8), (4, 9), (5, 6), (5, 7), (5, 8)]",6,3,3
"this tall tall robot admired with this girl","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]",7,0,0
"that girl chased this apple","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"that friendly curious boy admired this girl","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"this apple admired near this ancient friendly blue girl","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 8), (5, 7), (5, 8), (6, 7)]","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 8), (5, 7), (5, 8), (6, 7)]",8,0,0
"this blue tall boy admired the boy","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"a teacher admired the book with a tall blue book","[(0, 1), (0, 2), (0, 4), (0, 9), (3, 4), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 1), (0, 2), (0, 4), (0, 9), (3, 4), (5, 9), (6, 9), (7, 8), (7, 9)]",9,0,0
"the teacher liked the blue curious teacher","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 3), (0, 6), (4, 5), (4, 6)]",5,1,1
"that apple read near a friendly tall ancient teacher","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 8), (5, 7), (5, 8), (6, 7)]","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 7), (4, 8), (5, 6), (5, 7)]",6,2,2
