sentence,step,n_pairs,n_admitted,top_span,is_gold
"a quick lazy park admired the woman with the cat",5,4,4,"(7, 9)",1
"a quick lazy park admired the woman with the cat",6,3,3,"(0, 4)",1
"a quick lazy park admired the woman with the cat",7,2,2,"(0, 6)",1
"a quick lazy park admired the woman with the cat",8,1,1,"(0, 9)",1
"a cat saw a cat",0,4,4,"(0, 1)",1
"a cat saw a cat",1,3,3,"(3, 4)",1
"a cat saw a cat",2,2,2,"(0, 2)",1
"a cat saw a cat",3,1,1,"(0, 4)",1
"the big lazy woman chased the dog",0,6,6,"(5, 6)",1
"the big lazy woman chased the dog",1,5,5,"(5, 6)",1
"the big lazy woman chased the dog",2,4,4,"(5, 6)",1
"the big lazy woman chased the dog",3,3,3,"(5, 6)",1
"the big lazy woman chased the dog",4,2,2,"(0, 4)",1
"the big lazy woman chased the dog",5,1,1,"(0, 6)",1
"the man liked a park with the dog",0,7,7,"(0, 1)",1
"the man liked a park with the dog",1,6,6,"(0, 2)",1
"the man liked a park with the dog",2,5,5,"(0, 2)",1
"the man liked a park with the dog",3,4,4,"(0, 2)",1
"the man liked a park with the dog",4,3,3,"(0, 2)",1
"the man liked a park with the dog",5,2,2,"(3, 7)",0
"the man liked a park with the dog",6,1,1,"(0, 7)",1
"a dog chased",0,2,2,"(0, 1)",1
"a dog chased",1,1,1,"(0, 2)",1
"the telescope liked a cat in a quick red woman",0,9,9,"(0, 1)",1
"the telescope liked a cat in a quick red woman",1,8,8,"(7, 8)",1
"the telescope liked a cat in a quick red woman",2,7,7,"(7, 8)",1
"the telescope liked a cat in a quick red woman",3,6,6,"(0, 2)",1
"the telescope liked a cat in a quick red woman",4,5,5,"(0, 2)",1
"the telescope liked a cat in a quick red woman",5,4,4,"(0, 2)",1
"the telescope liked a cat in a quick red woman",6,3,3,"(0, 2)",1
"the telescope liked a cat in a quick red woman",7,2,2,"(0, 4)",1
"the telescope liked a cat in a quick red woman",8,1,1,"(0, 9)",1
"a cat found a small big dog",0,6,6,"(0, 1)",1
"a cat found a small big dog",1,5,5,"(4, 5)",1
"a cat found a small big dog",2,4,4,"(0, 2)",1
"a cat found a small big dog",3,3,3,"(0, 2)",1
"a cat found a small big dog",4,2,2,"(0, 2)",1
"a cat found a small big dog",5,1,1,"(0, 6)",1
"the lazy lazy woman found",0,4,4,"(1, 2)",1
"the lazy lazy woman found",1,3,3,"(1, 3)",1
"the lazy lazy woman found",2,2,2,"(0, 3)",1
"the lazy lazy woman found",3,1,1,"(0, 4)",1
"the big lazy man found a man",0,6,6,"(5, 6)",1
"the big lazy man found a man",1,5,5,"(5, 6)",1
"the big lazy man found a man",2,4,4,"(5, 6)",1
"the big lazy man found a man",3,3,3,"(5, 6)",1
"the big lazy man found a man",4,2,2,"(0, 4)",1
"the big lazy man found a man",5,1,1,"(0, 6)",1
"the telescope liked the telescope under the woman",0,7,7,"(6, 7)",1
"the telescope liked the telescope under the woman",1,6,6,"(6, 7)",1
"the telescope liked the telescope under the woman",2,5,5,"(6, 7)",1
"the telescope liked the telescope under the woman",3,4,4,"(0, 2)",1
"the telescope liked the telescope under the woman",4,3,3,"(0, 2)",1
"the telescope liked the telescope under the woman",5,2,2,"(3, 7)",0
"the telescope liked the telescope under the woman",6,1,1,"(0, 7)",1
"a woman admired a small red park",0,6,6,"(0, 1)",1
"a woman admired a small red park",1,5,5,"(4, 5)",1
"a woman admired a small red park",2,4,4,"(4, 6)",1
"a woman admired a small red park",3,3,3,"(0, 2)",1
"a woman admired a small red park",4,2,2,"(0, 2)",1
"a woman admired a small red park",5,1,1,"(0, 6)",1
"a park liked",0,2,2,"(0, 1)",1
"a park liked",1,1,1,"(0, 2)",1
"the park liked a woman",0,4,4,"(0, 1)",1
"the park liked a woman",1,3,3,"(0, 2)",1
"the park liked a woman",2,2,2,"(0, 2)",1
"the park liked a woman",3,1,1,"(0, 4)",1
"the small small cat admired a park",0,6,6,"(5, 6)",1
"the small small cat admired a park",1,5,5,"(5, 6)",1
"the small small cat admired a park",2,4,4,"(5, 6)",1
"the small small cat admired a park",3,3,3,"(5, 6)",1
"the small small cat admired a park",4,2,2,"(0, 4)",1
"the small small cat admired a park",5,1,1,"(0, 6)",1
"the woman admired the telescope in a cat",0,7,7,"(6, 7)",1
"the woman admired the telescope in a cat",1,6,6,"(6, 7)",1
"the woman admired the telescope in a cat",2,5,5,"(6, 7)",1
"the woman admired the telescope in a cat",3,4,4,"(0, 2)",1
"the woman admired the telescope in a cat",4,3,3,"(0, 2)",1
"the woman admired the telescope in a cat",5,2,2,"(0, 4)",1
"the woman admired the telescope in a cat",6,1,1,"(0, 7)",1
"a man admired",0,2,2,"(0, 1)",1
"a man admired",1,1,1,"(0, 2)",1
"a woman liked a small lazy dog in a dog",0,9,9,"(0, 1)",1
"a woman liked a small lazy dog in a dog",1,8,8,"(4, 5)",1
"a woman liked a small lazy dog in a dog",2,7,7,"(8, 9)",1
"a woman liked a small lazy dog in a dog",3,6,6,"(8, 9)",1
"a woman liked a small lazy dog in a dog",4,5,5,"(8, 9)",1
"a woman liked a small lazy dog in a dog",5,4,4,"(0, 2)",1
"a woman liked a small lazy dog in a dog",6,3,3,"(0, 2)",1
"a woman liked a small lazy dog in a dog",7,2,2,"(0, 6)",1
"a woman liked a small lazy dog in a dog",8,1,1,"(0, 9)",1
"a dog admired",0,2,2,"(0, 1)",1
"a dog admired",1,1,1,"(0, 2)",1
"the dog liked",0,2,2,"(0, 1)",1
"the dog liked",1,1,1,"(0, 2)",1
"a man admired a small lazy telescope",0,6,6,"(0, 1)",1
"a man admired a small lazy telescope",1,5,5,"(4, 5)",1
"a man admired a small lazy telescope",2,4,4,"(4, 6)",1
"a man admired a small lazy telescope",3,3,3,"(3, 6)",1
"a man admired a small lazy telescope",4,2,2,"(0, 2)",1
"a man admired a small lazy telescope",5,1,1,"(0, 6)",1
"a quick quick woman chased the man",0,6,6,"(5, 6)",1
"a quick quick woman chased the man",1,5,5,"(5, 6)",1
"a quick quick woman chased the man",2,4,4,"(5, 6)",1
"a quick quick woman chased the man",3,3,3,"(5, 6)",1
"a quick quick woman chased the man",4,2,2,"(4, 6)",0
"a quick quick woman chased the man",5,1,1,"(0, 6)",1
"the red quick telescope admired the woman on the cat",0,9,9,"(1, 2)",1
"the red quick telescope admired the woman on the cat",1,8,8,"(8, 9)",1
"the red quick telescope admired the woman on the cat",2,7,7,"(0, 3)",1
"the red quick telescope admired the woman on the cat",3,6,6,"(8, 9)",1
"the red quick telescope admired the woman on the cat",4,5,5,"(8, 9)",1
"the red quick telescope admired the woman on the cat",5,4,4,"(0, 4)",1
"the red quick telescope admired the woman on the cat",6,3,3,"(0, 4)",1
"the red quick telescope admired the woman on the cat",7,2,2,"(0, 6)",1
"the red quick telescope admired the woman on the cat",8,1,1,"(0, 9)",1
"the quick lazy lazy telescope saw a red quick man",0,9,9,"(7, 8)",1
"the quick lazy lazy telescope saw a red quick man",1,8,8,"(7, 8)",1
"the quick lazy lazy telescope saw a red quick man",2,7,7,"(7, 8)",1
"the quick lazy lazy telescope saw a red quick man",3,6,6,"(7, 8)",1
"the quick lazy lazy telescope saw a red quick man",4,5,5,"(7, 8)",1
"the quick lazy lazy telescope saw a red quick man",5,4,4,"(7, 9)",1
"the quick lazy lazy telescope saw a red quick man",6,3,3,"(6, 9)",1
"the quick lazy lazy telescope saw a red quick man",7,2,2,"(0, 5)",1
"the quick lazy lazy telescope saw a red quick man",8,1,1,"(0, 9)",1
"the cat liked a lazy red park",0,6,6,"(0, 1)",1
"the cat liked a lazy red park",1,5,5,"(4, 5)",1
"the cat liked a lazy red park",2,4,4,"(0, 2)",1
"the cat liked a lazy red park",3,3,3,"(0, 2)",1
"the cat liked a lazy red park",4,2,2,"(0, 2)",1
"the cat liked a lazy red park",5,1,1,"(0, 6)",1
"a red quick cat chased a big red man",0,8,8,"(6, 7)",1
"a red quick cat chased a big red man",1,7,7,"(6, 7)",1
"a red quick cat chased a big red man",2,6,6,"(0, 3)",1
"a red quick cat chased a big red man",3,5,5,"(6, 7)",1
"a red quick cat chased a big red man",4,4,4,"(6, 8)",1
"a red quick cat chased a big red man",5,3,3,"(5, 8)",1
"a red quick cat chased a big red man",6,2,2,"(0, 4)",1
"a red quick cat chased a big red man",7,1,1,"(0, 8)",1
"a quick quick park chased the dog",0,6,6,"(5, 6)",1
"a quick quick park chased the dog",1,5,5,"(5, 6)",1
"a quick quick park chased the dog",2,4,4,"(5, 6)",1
"a quick quick park chased the dog",3,3,3,"(5, 6)",1
"a quick quick park chased the dog",4,2,2,"(0, 4)",1
"a quick quick park chased the dog",5,1,1,"(0, 6)",1
"a big quick park liked the big lazy park",0,8,8,"(6, 7)",1
"a big quick park liked the big lazy park",1,7,7,"(1, 3)",1
"a big quick park liked the big lazy park",2,6,6,"(0, 3)",1
"a big quick park liked the big lazy park",3,5,5,"(0, 4)",1
"a big quick park liked the big lazy park",4,4,4,"(0, 4)",1
"a big quick park liked the big lazy park",5,3,3,"(0, 4)",1
"a big quick park liked the big lazy park",6,2,2,"(0, 4)",1
"a big quick park liked the big lazy park",7,1,1,"(0, 8)",1
"the small small telescope found a small red woman",0,8,8,"(6, 7)",1
"the small small telescope found a small red woman",1,7,7,"(6, 7)",1
"the small small telescope found a small red woman",2,6,6,"(6, 7)",1
"the small small telescope found a small red woman",3,5,5,"(6, 7)",1
"the small small telescope found a small red woman",4,4,4,"(6, 8)",1
"the small small telescope found a small red woman",5,3,3,"(0, 4)",1
"the small small telescope found a small red woman",6,2,2,"(0, 4)",1
"the small small telescope found a small red woman",7,1,1,"(0, 8)",1
"the park chased a lazy small dog in a dog",0,9,9,"(0, 1)",1
"the park chased a lazy small dog in a dog",1,8,8,"(0, 2)",1
"the park chased a lazy small dog in a dog",2,7,7,"(0, 2)",1
"the park chased a lazy small dog in a dog",3,6,6,"(0, 2)",1
"the park chased a lazy small dog in a dog",4,5,5,"(0, 2)",1
"the park chased a lazy small dog in a dog",5,4,4,"(0, 2)",1
"the park chased a lazy small dog in a dog",6,3,3,"(0, 2)",1
"the park chased a lazy small dog in a dog",7,2,2,"(0, 6)",1
"the park chased a lazy small dog in a dog",8,1,1,"(0, 9)",1
"a dog admired the small small dog",0,6,6,"(0, 1)",1
"a dog admired the small small dog",1,5,5,"(4, 5)",1
"a dog admired the small small dog",2,4,4,"(0, 2)",1
"a dog admired the small small dog",3,3,3,"(0, 2)",1
"a dog admired the small small dog",4,2,2,"(0, 2)",1
"a dog admired the small small dog",5,1,1,"(0, 6)",1
