sentence,step,n_pairs,n_admitted,top_span,is_gold
"this teacher carried with a tall tall blue apple",1,7,7,"(3, 4)",0
"this teacher carried with a tall tall blue apple",2,6,6,"(3, 4)",0
"this teacher carried with a tall tall blue apple",3,5,5,"(3, 4)",0
"this teacher carried with a tall tall blue apple",4,4,4,"(3, 4)",0
"this teacher carried with a tall tall blue apple",5,3,3,"(3, 8)",1
"this teacher carried with a tall tall blue apple",6,2,2,"(0, 2)",1
"this teacher carried with a tall tall blue apple",7,1,1,"(0, 8)",1
"the book admired near the girl",0,5,5,"(0, 1)",1
"the book admired near the girl",1,4,4,"(0, 2)",1
"the book admired near the girl",2,3,3,"(3, 5)",1
"the book admired near the girl",3,2,2,"(0, 2)",1
"the book admired near the girl",4,1,1,"(0, 5)",1
"a tall ancient girl read that curious curious boy",0,8,8,"(6, 7)",1
"a tall ancient girl read that curious curious boy",1,7,7,"(6, 7)",1
"a tall ancient girl read that curious curious boy",2,6,6,"(0, 3)",1
"a tall ancient girl read that curious curious boy",3,5,5,"(6, 7)",1
"a tall ancient girl read that curious curious boy",4,4,4,"(0, 4)",1
"a tall ancient girl read that curious curious boy",5,3,3,"(0, 4)",1
"a tall ancient girl read that curious curious boy",6,2,2,"(0, 4)",1
"a tall ancient girl read that curious curious boy",7,1,1,"(0, 8)",1
"this blue friendly robot chased this curious tall girl",0,8,8,"(1, 2)",1
"this blue friendly robot chased this curious tall girl",1,7,7,"(0, 2)",0
"this blue friendly robot chased this curious tall girl",2,6,6,"(0, 3)",1
"this blue friendly robot chased this curious tall girl",3,5,5,"(0, 4)",1
"this blue friendly robot chased this curious tall girl",4,4,4,"(6, 8)",1
"this blue friendly robot chased this curious tall girl",5,3,3,"(0, 4)",1
"this blue friendly robot chased this curious tall girl",6,2,2,"(0, 4)",1
"this blue friendly robot chased this curious tall girl",7,1,1,"(0, 8)",1
"this tall tall boy saw the blue blue girl",0,8,8,"(6, 7)",1
"this tall tall boy saw the blue blue girl",1,7,7,"(6, 7)",1
"this tall tall boy saw the blue blue girl",2,6,6,"(6, 7)",1
"this tall tall boy saw the blue blue girl",3,5,5,"(6, 7)",1
"this tall tall boy saw the blue blue girl",4,4,4,"(0, 4)",1
"this tall tall boy saw the blue blue girl",5,3,3,"(0, 4)",1
"this tall tall boy saw the blue blue girl",6,2,2,"(0, 4)",1
"this tall tall boy saw the blue blue girl",7,1,1,"(0, 8)",1
"that boy carried near a apple",0,5,5,"(0, 1)",1
"that boy carried near a apple",1,4,4,"(3, 4)",0
"that boy carried near a apple",2,3,3,"(3, 5)",1
"that boy carried near a apple",3,2,2,"(0, 2)",1
"that boy carried near a apple",4,1,1,"(0, 5)",1
"a blue curious boy liked that girl",0,6,6,"(1, 2)",1
"a blue curious boy liked that girl",1,5,5,"(1, 3)",1
"a blue curious boy liked that girl",2,4,4,"(0, 3)",1
"a blue curious boy liked that girl",3,3,3,"(5, 6)",1
"a blue curious boy liked that girl",4,2,2,"(0, 4)",1
"a blue curious boy liked that girl",5,1,1,"(0, 6)",1
"that boy saw this book",0,4,4,"(0, 1)",1
"that boy saw this book",1,3,3,"(0, 2)",1
"that boy saw this book",2,2,2,"(0, 2)",1
"that boy saw this book",3,1,1,"(0, 4)",1
"the blue blue book saw the teacher",0,6,6,"(1, 2)",1
"the blue blue book saw the teacher",1,5,5,"(1, 3)",1
"the blue blue book saw the teacher",2,4,4,"(0, 3)",1
"the blue blue book saw the teacher",3,3,3,"(0, 4)",1
"the blue blue book saw the teacher",4,2,2,"(0, 4)",1
"the blue blue book saw the teacher",5,1,1,"(0, 6)",1
"that apple saw that boy",0,4,4,"(0, 1)",1
"that apple saw that boy",1,3,3,"(0, 2)",1
"that apple saw that boy",2,2,2,"(0, 2)",1
"that apple saw that boy",3,1,1,"(0, 4)",1
"that tall friendly boy chased that tall curious book",0,8,8,"(1, 2)",1
"that tall friendly boy chased that tall curious book",1,7,7,"(6, 7)",1
"that tall friendly boy chased that tall curious book",2,6,6,"(6, 7)",1
"that tall friendly boy chased that tall curious book",3,5,5,"(6, 7)",1
"that tall friendly boy chased that tall curious book",4,4,4,"(5, 7)",0
"that tall friendly boy chased that tall curious book",5,3,3,"(0, 4)",1
"that tall friendly boy chased that tall curious book",6,2,2,"(4, 8)",0
"that tall friendly boy chased that tall curious book",7,1,1,"(0, 8)",1
"that ancient tall book carried a boy",0,6,6,"(1, 2)",1
"that ancient tall book carried a boy",1,5,5,"(0, 2)",0
"that ancient tall book carried a boy",2,4,4,"(0, 3)",1
"that ancient tall book carried a boy",3,3,3,"(0, 4)",1
"that ancient tall book carried a boy",4,2,2,"(0, 4)",1
"that ancient tall book carried a boy",5,1,1,"(0, 6)",1
"the teacher liked with that blue curious boy",0,7,7,"(5, 6)",1
"the teacher liked with that blue curious boy",1,6,6,"(5, 6)",1
"the teacher liked with that blue curious boy",2,5,5,"(3, 4)",0
"the teacher liked with that blue curious boy",3,4,4,"(3, 4)",0
"the teacher liked with that blue curious boy",4,3,3,"(3, 7)",1
"the teacher liked with that blue curious boy",5,2,2,"(0, 2)",1
"the teacher liked with that blue curious boy",6,1,1,"(0, 7)",1
"a apple admired without that curious ancient boy",0,7,7,"(5, 6)",1
"a apple admired without that curious ancient boy",1,6,6,"(0, 2)",1
"a apple admired without that curious ancient boy",2,5,5,"(0, 2)",1
"a apple admired without that curious ancient boy",3,4,4,"(0, 2)",1
"a apple admired without that curious ancient boy",4,3,3,"(0, 2)",1
"a apple admired without that curious ancient boy",5,2,2,"(0, 2)",1
"a apple admired without that curious ancient boy",6,1,1,"(0, 7)",1
"this blue blue apple liked a blue curious ancient robot",0,9,9,"(1, 2)",1
"this blue blue apple liked a blue curious ancient robot",1,8,8,"(6, 7)",0
"this blue blue apple liked a blue curious ancient robot",2,7,7,"(0, 3)",1
"this blue blue apple liked a blue curious ancient robot",3,6,6,"(6, 7)",0
"this blue blue apple liked a blue curious ancient robot",4,5,5,"(6, 8)",1
"this blue blue apple liked a blue curious ancient robot",5,4,4,"(5, 8)",0
"this blue blue apple liked a blue curious ancient robot",6,3,3,"(5, 9)",1
"this blue blue apple liked a blue curious ancient robot",7,2,2,"(0, 4)",1
"this blue blue apple liked a blue curious ancient robot",8,1,1,"(0, 9)",1
"that apple chased the friendly blue robot",0,6,6,"(0, 1)",1
"that apple chased the friendly blue robot",1,5,5,"(4, 5)",1
"that apple chased the friendly blue robot",2,4,4,"(3, 5)",0
"that apple chased the friendly blue robot",3,3,3,"(3, 6)",1
"that apple chased the friendly blue robot",4,2,2,"(0, 2)",1
"that apple chased the friendly blue robot",5,1,1,"(0, 6)",1
"that friendly friendly book saw a apple near the robot",0,9,9,"(1, 2)",1
"that friendly friendly book saw a apple near the robot",1,8,8,"(0, 2)",0
"that friendly friendly book saw a apple near the robot",2,7,7,"(0, 3)",1
"that friendly friendly book saw a apple near the robot",3,6,6,"(8, 9)",1
"that friendly friendly book saw a apple near the robot",4,5,5,"(8, 9)",1
"that friendly friendly book saw a apple near the robot",5,4,4,"(7, 9)",1
"that friendly friendly book saw a apple near the robot",6,3,3,"(5, 9)",0
"that friendly friendly book saw a apple near the robot",7,2,2,"(0, 6)",1
"that friendly friendly book saw a apple near the robot",8,1,1,"(0, 9)",1
"that boy read a apple near the book",0,7,7,"(0, 1)",1
"that boy read a apple near the book",1,6,6,"(6, 7)",1
"that boy read a apple near the book",2,5,5,"(6, 7)",1
"that boy read a apple near the book",3,4,4,"(5, 7)",1
"that boy read a apple near the book",4,3,3,"(3, 7)",0
"that boy read a apple near the book",5,2,2,"(0, 4)",1
"that boy read a apple near the book",6,1,1,"(0, 7)",1
"this robot chased that tall blue teacher",0,6,6,"(4, 5)",1
"this robot chased that tall blue teacher",1,5,5,"(4, 5)",1
"this robot chased that tall blue teacher",2,4,4,"(3, 5)",0
"this robot chased that tall blue teacher",3,3,3,"(3, 6)",1
"this robot chased that tall blue teacher",4,2,2,"(2, 6)",0
"this robot chased that tall blue teacher",5,1,1,"(0, 6)",1
"the curious blue girl read that friendly curious boy",0,8,8,"(1, 2)",1
"the curious blue girl read that friendly curious boy",1,7,7,"(1, 3)",1
"the curious blue girl read that friendly curious boy",2,6,6,"(6, 7)",1
"the curious blue girl read that friendly curious boy",3,5,5,"(6, 7)",1
"the curious blue girl read that friendly curious boy",4,4,4,"(0, 4)",1
"the curious blue girl read that friendly curious boy",5,3,3,"(0, 4)",1
"the curious blue girl read that friendly curious boy",6,2,2,"(0, 4)",1
"the curious blue girl read that friendly curious boy",7,1,1,"(0, 8)",1
"this apple liked without that girl",0,5,5,"(0, 1)",1
"this apple liked without that girl",1,4,4,"(0, 2)",1
"this apple liked without that girl",2,3,3,"(3, 5)",1
"this apple liked without that girl",3,2,2,"(0, 2)",1
"this apple liked without that girl",4,1,1,"(0, 5)",1
"this friendly curious book chased near the friendly blue boy",0,9,9,"(1, 2)",1
"this friendly curious book chased near the friendly blue boy",1,8,8,"(1, 3)",1
"this friendly curious book chased near the friendly blue boy",2,7,7,"(0, 3)",1
"this friendly curious book chased near the friendly blue boy",3,6,6,"(7, 8)",1
"this friendly curious book chased near the friendly blue boy",4,5,5,"(7, 9)",1
"this friendly curious book chased near the friendly blue boy",5,4,4,"(6, 9)",1
"this friendly curious book chased near the friendly blue boy",6,3,3,"(5, 9)",1
"this friendly curious book chased near the friendly blue boy",7,2,2,"(0, 4)",1
"this friendly curious book chased near the friendly blue boy",8,1,1,"(0, 9)",1
"the boy liked this friendly blue robot",0,6,6,"(0, 1)",1
"the boy liked this friendly blue robot",1,5,5,"(4, 5)",1
"the boy liked this friendly blue robot",2,4,4,"(0, 2)",1
"the boy liked this friendly blue robot",3,3,3,"(0, 2)",1
"the boy liked this friendly blue robot",4,2,2,"(2, 6)",0
"the boy liked this friendly blue robot",5,1,1,"(0, 6)",1
"this girl chased near this blue friendly teacher",0,7,7,"(0, 1)",1
"this girl chased near this blue friendly teacher",1,6,6,"(5, 6)",1
"this girl chased near this blue friendly teacher",2,5,5,"(0, 2)",1
"this girl chased near this blue friendly teacher",3,4,4,"(0, 2)",1
"this girl chased near this blue friendly teacher",4,3,3,"(3, 7)",1
"this girl chased near this blue friendly teacher",5,2,2,"(0, 2)",1
"this girl chased near this blue friendly teacher",6,1,1,"(0, 7)",1
"a tall curious teacher admired without a friendly blue girl",0,9,9,"(1, 2)",1
"a tall curious teacher admired without a friendly blue girl",1,8,8,"(1, 3)",1
"a tall curious teacher admired without a friendly blue girl",2,7,7,"(1, 4)",0
"a tall curious teacher admired without a friendly blue girl",3,6,6,"(0, 4)",1
"a tall curious teacher admired without a friendly blue girl",4,5,5,"(0, 4)",1
"a tall curious teacher admired without a friendly blue girl",5,4,4,"(0, 4)",1
"a tall curious teacher admired without a friendly blue girl",6,3,3,"(0, 4)",1
"a tall curious teacher admired without a friendly blue girl",7,2,2,"(0, 4)",1
"a tall curious teacher admired without a friendly blue girl",8,1,1,"(0, 9)",1
"a curious blue boy saw a blue friendly book",0,8,8,"(1, 2)",1
"a curious blue boy saw a blue friendly book",1,7,7,"(0, 2)",0
"a curious blue boy saw a blue friendly book",2,6,6,"(0, 3)",1
"a curious blue boy saw a blue friendly book",3,5,5,"(0, 4)",1
"a curious blue boy saw a blue friendly book",4,4,4,"(0, 4)",1
"a curious blue boy saw a blue friendly book",5,3,3,"(5, 8)",1
"a curious blue boy saw a blue friendly book",6,2,2,"(0, 4)",1
"a curious blue boy saw a blue friendly book",7,1,1,"(0, 8)",1
"that blue ancient book read the tall ancient friendly girl",0,9,9,"(1, 2)",1
"that blue ancient book read the tall ancient friendly girl",1,8,8,"(7, 8)",1
"that blue ancient book read the tall ancient friendly girl",2,7,7,"(7, 8)",1
"that blue ancient book read the tall ancient friendly girl",3,6,6,"(7, 8)",1
"that blue ancient book read the tall ancient friendly girl",4,5,5,"(6, 8)",1
"that blue ancient book read the tall ancient friendly girl",5,4,4,"(0, 4)",1
"that blue ancient book read the tall ancient friendly girl",6,3,3,"(0, 4)",1
"that blue ancient book read the tall ancient friendly girl",7,2,2,"(0, 4)",1
"that blue ancient book read the tall ancient friendly girl",8,1,1,"(0, 9)",1
"this ancient blue girl chased that apple near a book",0,9,9,"(1, 2)",1
"this ancient blue girl chased that apple near a book",1,8,8,"(1, 3)",1
"this ancient blue girl chased that apple near a book",2,7,7,"(0, 3)",1
"this ancient blue girl chased that apple near a book",3,6,6,"(5, 6)",1
"this ancient blue girl chased that apple near a book",4,5,5,"(4, 6)",0
"this ancient blue girl chased that apple near a book",5,4,4,"(4, 6)",0
"this ancient blue girl chased that apple near a book",6,3,3,"(5, 9)",0
"this ancient blue girl chased that apple near a book",7,2,2,"(0, 6)",1
"this ancient blue girl chased that apple near a book",8,1,1,"(0, 9)",1
"that teacher admired near a blue friendly girl",0,7,7,"(0, 1)",1
"that teacher admired near a blue friendly girl",1,6,6,"(0, 2)",1
"that teacher admired near a blue friendly girl",2,5,5,"(0, 2)",1
"that teacher admired near a blue friendly girl",3,4,4,"(4, 7)",1
"that teacher admired near a blue friendly girl",4,3,3,"(3, 7)",1
"that teacher admired near a blue friendly girl",5,2,2,"(0, 2)",1
"that teacher admired near a blue friendly girl",6,1,1,"(0, 7)",1
"this boy admired that blue tall friendly book",0,7,7,"(0, 1)",1
"this boy admired that blue tall friendly book",1,6,6,"(5, 6)",1
"this boy admired that blue tall friendly book",2,5,5,"(4, 6)",1
"this boy admired that blue tall friendly book",3,4,4,"(3, 6)",0
"this boy admired that blue tall friendly book",4,3,3,"(3, 7)",1
"this boy admired that blue tall friendly book",5,2,2,"(0, 2)",1
"this boy admired that blue tall friendly book",6,1,1,"(0, 7)",1
"a friendly blue curious robot admired a ancient friendly boy",0,9,9,"(2, 3)",1
"a friendly blue curious robot admired a ancient friendly boy",1,8,8,"(1, 3)",1
"a friendly blue curious robot admired a ancient friendly boy",2,7,7,"(1, 4)",1
"a friendly blue curious robot admired a ancient friendly boy",3,6,6,"(0, 4)",1
"a friendly blue curious robot admired a ancient friendly boy",4,5,5,"(7, 8)",1
"a friendly blue curious robot admired a ancient friendly boy",5,4,4,"(5, 6)",0
"a friendly blue curious robot admired a ancient friendly boy",6,3,3,"(6, 9)",1
"a friendly blue curious robot admired a ancient friendly boy",7,2,2,"(5, 9)",0
