sentence,gold_brackets,pred_brackets,tp,fp,fn
"that apple chased the friendly blue robot","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 5), (0, 6), (3, 5), (4, 5)]",4,2,2
"that friendly friendly book saw a apple near the robot","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 9), (1, 2), (6, 9), (7, 9), (8, 9)]",6,3,3
"that boy read a apple near the book","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"this robot chased that tall blue teacher","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 6), (2, 5), (2, 6), (3, 5), (4, 5)]",3,3,3
"the curious blue girl read that friendly curious boy","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]",8,0,0
"this apple liked without that girl","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"this friendly curious book chased near the friendly blue boy","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]",9,0,0
"the boy liked this friendly blue robot","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 5), (0, 6), (3, 5), (4, 5)]",4,2,2
"this girl chased near this blue friendly teacher","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]","[(0, 1), (0, 2), (0, 6), (0, 7), (3, 6), (4, 6), (5, 6)]",4,3,3
"a tall curious teacher admired without a friendly blue girl","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 4), (0, 9), (1, 2), (1, 3), (1, 4), (5, 6), (5, 9), (7, 8), (7, 9)]",7,2,2
"a curious blue boy saw a blue friendly book","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 2), (0, 3), (0, 4), (0, 5), (0, 8), (1, 2), (6, 7), (6, 8)]",6,2,2
"that blue ancient book read the tall ancient friendly girl","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]",9,0,0
"this ancient blue girl chased that apple near a book","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]","[(0, 3), (0, 9), (1, 2), (1, 3), (4, 6), (4, 7), (4, 9), (5, 6), (8, 9)]",6,3,3
"that teacher admired near a blue friendly girl","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]",7,0,0
"this boy admired that blue tall friendly book","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 6), (4, 7), (5, 6)]","[(0, 1), (0, 2), (0, 6), (0, 7), (3, 6), (4, 6), (5, 6)]",5,2,2
"a friendly blue curious robot admired a ancient friendly boy","[(0, 4), (0, 5), (0, 9), (1, 3), (1, 4), (2, 3), (6, 9), (7, 8), (7, 9)]","[(0, 4), (0, 9), (1, 3), (1, 4), (2, 3), (5, 6), (5, 9), (7, 8), (7, 9)]",7,2,2
"that tall curious girl carried with that girl","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 2), (0, 3), (0, 4), (0, 7), (1, 2), (5, 6), (5, 7)]",5,2,2
"this book read that book without the boy","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 7), (5, 6), (5, 7)]",5,2,2
"this tall blue robot liked a robot","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"a apple chased this friendly tall boy","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 3), (0, 5), (0, 6), (4, 5)]",4,2,2
"the ancient friendly teacher liked with a curious blue robot","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 3), (0, 4), (0, 6), (0, 8), (0, 9), (1, 2), (1, 3), (5, 6), (7, 8)]",6,3,3
"that tall curious apple carried this curious blue tall boy","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]","[(0, 3), (0, 4), (0, 8), (0, 9), (1, 2), (1, 3), (5, 8), (6, 8), (7, 8)]",7,2,2
"a tall blue girl chased that boy with that robot","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]",9,0,0
"a boy liked without that curious friendly robot","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]","[(0, 1), (0, 2), (0, 7), (3, 4), (3, 6), (3, 7), (5, 6)]",5,2,2
"the ancient ancient robot chased this friendly friendly ancient robot","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]","[(0, 3), (0, 4), (0, 8), (0, 9), (1, 2), (1, 3), (5, 8), (6, 8), (7, 8)]",7,2,2
"a girl saw with the tall blue curious boy","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 8), (5, 7), (5, 8), (6, 7)]","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 7), (4, 8), (5, 7), (6, 7)]",7,1,1
"that tall friendly apple chased without the book","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 6), (5, 7)]",6,1,1
"that friendly curious boy admired this girl","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 6), (1, 2), (1, 3), (4, 6), (5, 6)]",5,1,1
"that boy admired this tall curious apple","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 5), (0, 6), (2, 5), (3, 5), (4, 5)]",3,3,3
"this apple admired near this ancient friendly blue girl","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 8), (5, 7), (5, 8), (6, 7)]","[(0, 1), (0, 2), (0, 3), (0, 8), (4, 7), (4, 8), (5, 7), (6, 7)]",6,2,2
"a apple read this boy","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"that apple chased a book","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 3), (0, 4)]",3,1,1
"this book admired this apple","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 4), (2, 4), (3, 4)]",3,1,1
"a girl chased this robot","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 4), (2, 4), (3, 4)]",3,1,1
"a ancient friendly girl liked a apple","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
