sentence,step,n_pairs,n_admitted,top_span,is_gold
"that blue friendly teacher carried the friendly blue robot",2,6,6,"(0, 3)",1
"that blue friendly teacher carried the friendly blue robot",3,5,5,"(7, 8)",0
"that blue friendly teacher carried the friendly blue robot",4,4,4,"(6, 8)",1
"that blue friendly teacher carried the friendly blue robot",5,3,3,"(5, 8)",1
"that blue friendly teacher carried the friendly blue robot",6,2,2,"(0, 4)",1
"that blue friendly teacher carried the friendly blue robot",7,1,1,"(0, 8)",1
"that curious friendly friendly book liked without the book",0,8,8,"(7, 8)",1
"that curious friendly friendly book liked without the book",1,7,7,"(7, 8)",1
"that curious friendly friendly book liked without the book",2,6,6,"(7, 8)",1
"that curious friendly friendly book liked without the book",3,5,5,"(7, 8)",1
"that curious friendly friendly book liked without the book",4,4,4,"(7, 8)",1
"that curious friendly friendly book liked without the book",5,3,3,"(6, 8)",1
"that curious friendly friendly book liked without the book",6,2,2,"(0, 5)",1
"that curious friendly friendly book liked without the book",7,1,1,"(0, 8)",1
"a book admired this blue ancient book",0,6,6,"(0, 1)",1
"a book admired this blue ancient book",1,5,5,"(4, 5)",1
"a book admired this blue ancient book",2,4,4,"(3, 5)",0
"a book admired this blue ancient book",3,3,3,"(3, 6)",1
"a book admired this blue ancient book",4,2,2,"(0, 2)",1
"a book admired this blue ancient book",5,1,1,"(0, 6)",1
"this robot read without that ancient curious curious book",0,8,8,"(0, 1)",1
"this robot read without that ancient curious curious book",1,7,7,"(3, 4)",0
"this robot read without that ancient curious curious book",2,6,6,"(6, 8)",0
"this robot read without that ancient curious curious book",3,5,5,"(4, 7)",0
"this robot read without that ancient curious curious book",4,4,4,"(4, 8)",1
"this robot read without that ancient curious curious book",5,3,3,"(3, 8)",1
"this robot read without that ancient curious curious book",6,2,2,"(0, 2)",1
"this robot read without that ancient curious curious book",7,1,1,"(0, 8)",1
"a teacher carried a teacher",0,4,4,"(3, 4)",1
"a teacher carried a teacher",1,3,3,"(3, 4)",1
"a teacher carried a teacher",2,2,2,"(0, 2)",1
"a teacher carried a teacher",3,1,1,"(0, 4)",1
"the curious tall robot chased that boy",0,6,6,"(5, 6)",1
"the curious tall robot chased that boy",1,5,5,"(5, 6)",1
"the curious tall robot chased that boy",2,4,4,"(5, 6)",1
"the curious tall robot chased that boy",3,3,3,"(5, 6)",1
"the curious tall robot chased that boy",4,2,2,"(0, 4)",1
"the curious tall robot chased that boy",5,1,1,"(0, 6)",1
"the girl chased the robot",0,4,4,"(0, 1)",1
"the girl chased the robot",1,3,3,"(3, 4)",1
"the girl chased the robot",2,2,2,"(0, 2)",1
"the girl chased the robot",3,1,1,"(0, 4)",1
"the apple saw the tall tall robot",0,6,6,"(0, 1)",1
"the apple saw the tall tall robot",1,5,5,"(4, 5)",1
"the apple saw the tall tall robot",2,4,4,"(4, 6)",1
"the apple saw the tall tall robot",3,3,3,"(3, 6)",1
"the apple saw the tall tall robot",4,2,2,"(2, 6)",0
"the apple saw the tall tall robot",5,1,1,"(0, 6)",1
"a girl read the tall tall teacher",0,6,6,"(0, 1)",1
"a girl read the tall tall teacher",1,5,5,"(4, 5)",1
"a girl read the tall tall teacher",2,4,4,"(4, 6)",1
"a girl read the tall tall teacher",3,3,3,"(3, 6)",1
"a girl read the tall tall teacher",4,2,2,"(0, 2)",1
"a girl read the tall tall teacher",5,1,1,"(0, 6)",1
"this apple liked without that girl",0,5,5,"(4, 5)",1
"this apple liked without that girl",1,4,4,"(4, 5)",1
"this apple liked without that girl",2,3,3,"(3, 5)",1
"this apple liked without that girl",3,2,2,"(0, 2)",1
"this apple liked without that girl",4,1,1,"(0, 5)",1
"that teacher admired near the book",0,5,5,"(0, 1)",1
"that teacher admired near the book",1,4,4,"(4, 5)",1
"that teacher admired near the book",2,3,3,"(3, 5)",1
"that teacher admired near the book",3,2,2,"(2, 5)",0
"that teacher admired near the book",4,1,1,"(0, 5)",1
"that apple saw this book",0,4,4,"(0, 1)",1
"that apple saw this book",1,3,3,"(3, 4)",1
"that apple saw this book",2,2,2,"(0, 2)",1
"that apple saw this book",3,1,1,"(0, 4)",1
"this apple carried near the teacher",0,5,5,"(4, 5)",1
"this apple carried near the teacher",1,4,4,"(4, 5)",1
"this apple carried near the teacher",2,3,3,"(3, 5)",1
"this apple carried near the teacher",3,2,2,"(0, 2)",1
"this apple carried near the teacher",4,1,1,"(0, 5)",1
"a girl saw near the book",0,5,5,"(0, 1)",1
"a girl saw near the book",1,4,4,"(4, 5)",1
"a girl saw near the book",2,3,3,"(3, 5)",1
"a girl saw near the book",3,2,2,"(0, 2)",1
"a girl saw near the book",4,1,1,"(0, 5)",1
"that ancient blue boy saw a ancient friendly book",0,8,8,"(1, 2)",1
"that ancient blue boy saw a ancient friendly book",1,7,7,"(6, 7)",1
"that ancient blue boy saw a ancient friendly book",2,6,6,"(0, 3)",1
"that ancient blue boy saw a ancient friendly book",3,5,5,"(6, 7)",1
"that ancient blue boy saw a ancient friendly book",4,4,4,"(5, 7)",0
"that ancient blue boy saw a ancient friendly book",5,3,3,"(5, 8)",1
"that ancient blue boy saw a ancient friendly book",6,2,2,"(4, 8)",0
"that ancient blue boy saw a ancient friendly book",7,1,1,"(0, 8)",1
"the ancient curious robot liked this teacher",0,6,6,"(5, 6)",1
"the ancient curious robot liked this teacher",1,5,5,"(5, 6)",1
"the ancient curious robot liked this teacher",2,4,4,"(5, 6)",1
"the ancient curious robot liked this teacher",3,3,3,"(5, 6)",1
"the ancient curious robot liked this teacher",4,2,2,"(4, 6)",0
"the ancient curious robot liked this teacher",5,1,1,"(0, 6)",1
"the apple carried this tall curious teacher",0,6,6,"(0, 1)",1
"the apple carried this tall curious teacher",1,5,5,"(4, 5)",1
"the apple carried this tall curious teacher",2,4,4,"(4, 6)",1
"the apple carried this tall curious teacher",3,3,3,"(3, 6)",1
"the apple carried this tall curious teacher",4,2,2,"(0, 2)",1
"the apple carried this tall curious teacher",5,1,1,"(0, 6)",1
"this girl read a friendly friendly friendly apple",0,7,7,"(0, 1)",1
"this girl read a friendly friendly friendly apple",1,6,6,"(5, 6)",1
"this girl read a friendly friendly friendly apple",2,5,5,"(5, 7)",0
"this girl read a friendly friendly friendly apple",3,4,4,"(4, 7)",1
"this girl read a friendly friendly friendly apple",4,3,3,"(3, 7)",1
"this girl read a friendly friendly friendly apple",5,2,2,"(0, 2)",1
"this girl read a friendly friendly friendly apple",6,1,1,"(0, 7)",1
"this curious curious girl liked near a boy",0,7,7,"(6, 7)",1
"this curious curious girl liked near a boy",1,6,6,"(6, 7)",1
"this curious curious girl liked near a boy",2,5,5,"(0, 3)",1
"this curious curious girl liked near a boy",3,4,4,"(6, 7)",1
"this curious curious girl liked near a boy",4,3,3,"(5, 7)",1
"this curious curious girl liked near a boy",5,2,2,"(0, 4)",1
"this curious curious girl liked near a boy",6,1,1,"(0, 7)",1
"this blue blue girl liked without that girl",0,7,7,"(6, 7)",1
"this blue blue girl liked without that girl",1,6,6,"(6, 7)",1
"this blue blue girl liked without that girl",2,5,5,"(0, 3)",1
"this blue blue girl liked without that girl",3,4,4,"(6, 7)",1
"this blue blue girl liked without that girl",4,3,3,"(5, 7)",1
"this blue blue girl liked without that girl",5,2,2,"(0, 4)",1
"this blue blue girl liked without that girl",6,1,1,"(0, 7)",1
"that book liked with the boy",0,5,5,"(4, 5)",1
"that book liked with the boy",1,4,4,"(4, 5)",1
"that book liked with the boy",2,3,3,"(3, 5)",1
"that book liked with the boy",3,2,2,"(0, 2)",1
"that book liked with the boy",4,1,1,"(0, 5)",1
"the apple read this girl near the robot",0,7,7,"(0, 1)",1
"the apple read this girl near the robot",1,6,6,"(6, 7)",1
"the apple read this girl near the robot",2,5,5,"(6, 7)",1
"the apple read this girl near the robot",3,4,4,"(5, 7)",1
"the apple read this girl near the robot",4,3,3,"(0, 2)",1
"the apple read this girl near the robot",5,2,2,"(0, 4)",1
"the apple read this girl near the robot",6,1,1,"(0, 7)",1
"this tall tall boy saw the blue blue girl",0,8,8,"(6, 7)",1
"this tall tall boy saw the blue blue girl",1,7,7,"(6, 7)",1
"this tall tall boy saw the blue blue girl",2,6,6,"(6, 7)",1
"this tall tall boy saw the blue blue girl",3,5,5,"(6, 7)",1
"this tall tall boy saw the blue blue girl",4,4,4,"(6, 8)",1
"this tall tall boy saw the blue blue girl",5,3,3,"(5, 8)",1
"this tall tall boy saw the blue blue girl",6,2,2,"(0, 4)",1
"this tall tall boy saw the blue blue girl",7,1,1,"(0, 8)",1
"that tall friendly boy chased that tall curious book",0,8,8,"(1, 2)",1
"that tall friendly boy chased that tall curious book",1,7,7,"(1, 3)",1
"that tall friendly boy chased that tall curious book",2,6,6,"(0, 3)",1
"that tall friendly boy chased that tall curious book",3,5,5,"(6, 7)",1
"that tall friendly boy chased that tall curious book",4,4,4,"(6, 8)",1
"that tall friendly boy chased that tall curious book",5,3,3,"(0, 4)",1
"that tall friendly boy chased that tall curious book",6,2,2,"(0, 4)",1
"that tall friendly boy chased that tall curious book",7,1,1,"(0, 8)",1
"the girl carried this ancient blue robot",0,6,6,"(4, 5)",1
"the girl carried this ancient blue robot",1,5,5,"(4, 5)",1
"the girl carried this ancient blue robot",2,4,4,"(4, 6)",1
"the girl carried this ancient blue robot",3,3,3,"(3, 6)",1
"the girl carried this ancient blue robot",4,2,2,"(0, 2)",1
"the girl carried this ancient blue robot",5,1,1,"(0, 6)",1
"a book chased with the girl",0,5,5,"(4, 5)",1
"a book chased with the girl",1,4,4,"(4, 5)",1
"a book chased with the girl",2,3,3,"(3, 5)",1
"a book chased with the girl",3,2,2,"(2, 5)",0
"a book chased with the girl",4,1,1,"(0, 5)",1
"the ancient ancient robot chased this friendly friendly ancient robot",0,9,9,"(7, 8)",1
"the ancient ancient robot chased this friendly friendly ancient robot",1,8,8,"(7, 8)",1
"the ancient ancient robot chased this friendly friendly ancient robot",2,7,7,"(7, 8)",1
"the ancient ancient robot chased this friendly friendly ancient robot",3,6,6,"(7, 8)",1
"the ancient ancient robot chased this friendly friendly ancient robot",4,5,5,"(7, 9)",0
"the ancient ancient robot chased this friendly friendly ancient robot",5,4,4,"(6, 9)",1
"the ancient ancient robot chased this friendly friendly ancient robot",6,3,3,"(5, 9)",1
"the ancient ancient robot chased this friendly friendly ancient robot",7,2,2,"(4, 9)",0
"the ancient ancient robot chased this friendly friendly ancient robot",8,1,1,"(0, 9)",1
"that apple read a book with this robot",0,7,7,"(0, 1)",1
"that apple read a book with this robot",1,6,6,"(6, 7)",1
"that apple read a book with this robot",2,5,5,"(6, 7)",1
"that apple read a book with this robot",3,4,4,"(5, 7)",1
"that apple read a book with this robot",4,3,3,"(0, 2)",1
"that apple read a book with this robot",5,2,2,"(0, 4)",1
"that apple read a book with this robot",6,1,1,"(0, 7)",1
"a girl carried the blue blue robot near the robot",0,9,9,"(0, 1)",1
"a girl carried the blue blue robot near the robot",1,8,8,"(8, 9)",1
"a girl carried the blue blue robot near the robot",2,7,7,"(8, 9)",1
"a girl carried the blue blue robot near the robot",3,6,6,"(8, 9)",1
"a girl carried the blue blue robot near the robot",4,5,5,"(8, 9)",1
"a girl carried the blue blue robot near the robot",5,4,4,"(7, 9)",1
"a girl carried the blue blue robot near the robot",6,3,3,"(3, 9)",0
"a girl carried the blue blue robot near the robot",7,2,2,"(0, 6)",1
"a girl carried the blue blue robot near the robot",8,1,1,"(0, 9)",1
"this girl read this friendly curious girl with this boy",0,9,9,"(8, 9)",1
"this girl read this friendly curious girl with this boy",1,8,8,"(8, 9)",1
"this girl read this friendly curious girl with this boy",2,7,7,"(8, 9)",1
"this girl read this friendly curious girl with this boy",3,6,6,"(8, 9)",1
"this girl read this friendly curious girl with this boy",4,5,5,"(8, 9)",1
"this girl read this friendly curious girl with this boy",5,4,4,"(7, 9)",1
"this girl read this friendly curious girl with this boy",6,3,3,"(0, 2)",1
"this girl read this friendly curious girl with this boy",7,2,2,"(0, 6)",1
"this girl read this friendly curious girl with this boy",8,1,1,"(0, 9)",1
"the teacher read this boy",0,4,4,"(3, 4)",1
"the teacher read this boy",1,3,3,"(3, 4)",1
"the teacher read this boy",2,2,2,"(0, 2)",1
"the teacher read this boy",3,1,1,"(0, 4)",1
"this tall tall robot carried near the blue ancient robot",0,9,9,"(7, 8)",1
"this tall tall robot carried near the blue ancient robot",1,8,8,"(7, 8)",1
"this tall tall robot carried near the blue ancient robot",2,7,7,"(7, 8)",1
"this tall tall robot carried near the blue ancient robot",3,6,6,"(7, 8)",1
"this tall tall robot carried near the blue ancient robot",4,5,5,"(7, 9)",1
"this tall tall robot carried near the blue ancient robot",5,4,4,"(6, 9)",1
"this tall tall robot carried near the blue ancient robot",6,3,3,"(5, 9)",1
"this tall tall robot carried near the blue ancient robot",7,2,2,"(0, 4)",1
"this tall tall robot carried near the blue ancient robot",8,1,1,"(0, 9)",1
"a friendly blue apple admired this boy",0,6,6,"(5, 6)",1
"a friendly blue apple admired this boy",1,5,5,"(5, 6)",1
"a friendly blue apple admired this boy",2,4,4,"(5, 6)",1
"a friendly blue apple admired this boy",3,3,3,"(5, 6)",1
"a friendly blue apple admired this boy",4,2,2,"(4, 6)",0
"a friendly blue apple admired this boy",5,1,1,"(0, 6)",1
"this tall blue robot liked a robot",0,6,6,"(5, 6)",1
"this tall blue robot liked a robot",1,5,5,"(5, 6)",1
"this tall blue robot liked a robot",2,4,4,"(0, 3)",1
"this tall blue robot liked a robot",3,3,3,"(5, 6)",1
"this tall blue robot liked a robot",4,2,2,"(4, 6)",0
"this tall blue robot liked a robot",5,1,1,"(0, 6)",1
"that robot carried this curious friendly curious boy",0,7,7,"(5, 6)",1
"that robot carried this curious friendly curious boy",1,6,6,"(5, 6)",1
"that robot carried this curious friendly curious boy",2,5,5,"(4, 6)",1
"that robot carried this curious friendly curious boy",3,4,4,"(4, 7)",1
"that robot carried this curious friendly curious boy",4,3,3,"(3, 7)",1
"that robot carried this curious friendly curious boy",5,2,2,"(0, 2)",1
"that robot carried this curious friendly curious boy",6,1,1,"(0, 7)",1
"a curious curious tall boy admired that friendly ancient girl",0,9,9,"(7, 8)",1
"a curious curious tall boy admired that friendly ancient girl",1,8,8,"(7, 8)",1
"a curious curious tall boy admired that friendly ancient girl",2,7,7,"(7, 8)",1
"a curious curious tall boy admired that friendly ancient girl",3,6,6,"(7, 8)",1
"a curious curious tall boy admired that friendly ancient girl",4,5,5,"(7, 8)",1
"a curious curious tall boy admired that friendly ancient girl",5,4,4,"(7, 9)",1
"a curious curious tall boy admired that friendly ancient girl",6,3,3,"(6, 9)",1
"a curious curious tall boy admired that friendly ancient girl",7,2,2,"(5, 9)",0
"a curious curious tall boy admired that friendly ancient girl",8,1,1,"(0, 9)",1
"the robot admired this robot with the apple",0,7,7,"(6, 7)",1
"the robot admired this robot with the apple",1,6,6,"(6, 7)",1
"the robot admired this robot with the apple",2,5,5,"(6, 7)",1
"the robot admired this robot with the apple",3,4,4,"(5, 7)",1
"the robot admired this robot with the apple",4,3,3,"(0, 2)",1
"the robot admired this robot with the apple",5,2,2,"(0, 4)",1
"the robot admired this robot with the apple",6,1,1,"(0, 7)",1
"this boy chased near a apple",0,5,5,"(0, 1)",1
"this boy chased near a apple",1,4,4,"(4, 5)",1
"this boy chased near a apple",2,3,3,"(3, 5)",1
"this boy chased near a apple",3,2,2,"(0, 2)",1
"this boy chased near a apple",4,1,1,"(0, 5)",1
"the curious curious teacher saw the girl without that book",0,9,9,"(1, 2)",1
"the curious curious teacher saw the girl without that book",1,8,8,"(8, 9)",1
"the curious curious teacher saw the girl without that book",2,7,7,"(8, 9)",1
"the curious curious teacher saw the girl without that book",3,6,6,"(8, 9)",1
"the curious curious teacher saw the girl without that book",4,5,5,"(8, 9)",1
"the curious curious teacher saw the girl without that book",5,4,4,"(7, 9)",1
"the curious curious teacher saw the girl without that book",6,3,3,"(4, 6)",0
"the curious curious teacher saw the girl without that book",7,2,2,"(0, 6)",1
"the curious curious teacher saw the girl without that book",8,1,1,"(0, 9)",1
"this book saw this friendly tall girl",0,6,6,"(0, 1)",1
"this book saw this friendly tall girl",1,5,5,"(4, 5)",1
"this book saw this friendly tall girl",2,4,4,"(3, 5)",0
"this book saw this friendly tall girl",3,3,3,"(3, 6)",1
"this book saw this friendly tall girl",4,2,2,"(0, 2)",1
"this book saw this friendly tall girl",5,1,1,"(0, 6)",1
"the book liked with this teacher",0,5,5,"(4, 5)",1
"the book liked with this teacher",1,4,4,"(4, 5)",1
"the book liked with this teacher",2,3,3,"(3, 5)",1
"the book liked with this teacher",3,2,2,"(0, 2)",1
"the book liked with this teacher",4,1,1,"(0, 5)",1
"the teacher liked with that blue curious boy",0,7,7,"(0, 1)",1
"the teacher liked with that blue curious boy",1,6,6,"(5, 6)",1
"the teacher liked with that blue curious boy",2,5,5,"(5, 7)",1
"the teacher liked with that blue curious boy",3,4,4,"(4, 7)",1
"the teacher liked with that blue curious boy",4,3,3,"(3, 7)",1
"the teacher liked with that blue curious boy",5,2,2,"(0, 2)",1
"the teacher liked with that blue curious boy",6,1,1,"(0, 7)",1
"a book chased a book with the book",0,7,7,"(6, 7)",1
"a book chased a book with the book",1,6,6,"(6, 7)",1
"a book chased a book with the book",2,5,5,"(6, 7)",1
"a book chased a book with the book",3,4,4,"(5, 7)",1
"a book chased a book with the book",4,3,3,"(0, 2)",1
"a book chased a book with the book",5,2,2,"(0, 4)",1
"a book chased a book with the book",6,1,1,"(0, 7)",1
"the robot liked near a girl",0,5,5,"(4, 5)",1
"the robot liked near a girl",1,4,4,"(4, 5)",1
"the robot liked near a girl",2,3,3,"(3, 5)",1
"the robot liked near a girl",3,2,2,"(0, 2)",1
"the robot liked near a girl",4,1,1,"(0, 5)",1
"the boy liked the friendly ancient girl",0,6,6,"(0, 1)",1
"the boy liked the friendly ancient girl",1,5,5,"(4, 5)",1
"the boy liked the friendly ancient girl",2,4,4,"(3, 5)",0
"the boy liked the friendly ancient girl",3,3,3,"(3, 6)",1
"the boy liked the friendly ancient girl",4,2,2,"(2, 6)",0
"the boy liked the friendly ancient girl",5,1,1,"(0, 6)",1
"a ancient tall teacher chased without that friendly blue boy",0,9,9,"(1, 2)",1
"a ancient tall teacher chased without that friendly blue boy",1,8,8,"(1, 3)",1
"a ancient tall teacher chased without that friendly blue boy",2,7,7,"(0, 3)",1
"a ancient tall teacher chased without that friendly blue boy",3,6,6,"(7, 8)",1
"a ancient tall teacher chased without that friendly blue boy",4,5,5,"(7, 9)",1
"a ancient tall teacher chased without that friendly blue boy",5,4,4,"(6, 9)",1
"a ancient tall teacher chased without that friendly blue boy",6,3,3,"(5, 9)",1
"a ancient tall teacher chased without that friendly blue boy",7,2,2,"(0, 4)",1
"a ancient tall teacher chased without that friendly blue boy",8,1,1,"(0, 9)",1
"the book carried the book near that tall blue apple",0,9,9,"(7, 8)",1
"the book carried the book near that tall blue apple",1,8,8,"(7, 8)",1
"the book carried the book near that tall blue apple",2,7,7,"(7, 8)",1
"the book carried the book near that tall blue apple",3,6,6,"(6, 8)",0
"the book carried the book near that tall blue apple",4,5,5,"(6, 9)",1
"the book carried the book near that tall blue apple",5,4,4,"(5, 9)",1
"the book carried the book near that tall blue apple",6,3,3,"(0, 2)",1
"the book carried the book near that tall blue apple",7,2,2,"(0, 4)",1
"the book carried the book near that tall blue apple",8,1,1,"(0, 9)",1
"a blue curious boy liked a blue friendly friendly apple",0,9,9,"(7, 8)",1
"a blue curious boy liked a blue friendly friendly apple",1,8,8,"(7, 8)",1
"a blue curious boy liked a blue friendly friendly apple",2,7,7,"(0, 3)",1
"a blue curious boy liked a blue friendly friendly apple",3,6,6,"(7, 8)",1
"a blue curious boy liked a blue friendly friendly apple",4,5,5,"(6, 8)",1
"a blue curious boy liked a blue friendly friendly apple",5,4,4,"(6, 9)",1
"a blue curious boy liked a blue friendly friendly apple",6,3,3,"(5, 9)",1
"a blue curious boy liked a blue friendly friendly apple",7,2,2,"(0, 4)",1
"a blue curious boy liked a blue friendly friendly apple",8,1,1,"(0, 9)",1
"that book carried this tall friendly tall robot",0,7,7,"(0, 1)",1
"that book carried this tall friendly tall robot",1,6,6,"(4, 5)",0
"that book carried this tall friendly tall robot",2,5,5,"(4, 6)",1
"that book carried this tall friendly tall robot",3,4,4,"(3, 6)",0
"that book carried this tall friendly tall robot",4,3,3,"(3, 7)",1
"that book carried this tall friendly tall robot",5,2,2,"(0, 2)",1
"that book carried this tall friendly tall robot",6,1,1,"(0, 7)",1
"the teacher saw this curious tall apple",0,6,6,"(0, 1)",1
"the teacher saw this curious tall apple",1,5,5,"(4, 5)",1
"the teacher saw this curious tall apple",2,4,4,"(4, 6)",1
"the teacher saw this curious tall apple",3,3,3,"(3, 6)",1
"the teacher saw this curious tall apple",4,2,2,"(2, 6)",0
"the teacher saw this curious tall apple",5,1,1,"(0, 6)",1
"that robot chased with a apple which liked that book",0,9,9,"(8, 9)",1
"that robot chased with a apple which liked that book",1,8,8,"(8, 9)",1
"that robot chased with a apple which liked that book",2,7,7,"(4, 5)",0
"that robot chased with a apple which liked that book",3,6,6,"(4, 5)",0
"that robot chased with a apple which liked that book",4,5,5,"(4, 5)",0
"that robot chased with a apple which liked that book",5,4,4,"(4, 9)",1
"that robot chased with a apple which liked that book",6,3,3,"(3, 9)",1
"that robot chased with a apple which liked that book",7,2,2,"(0, 2)",1
"that robot chased with a apple which liked that book",8,1,1,"(0, 9)",1
"that apple liked this blue curious curious friendly robot",0,8,8,"(0, 1)",1
"that apple liked this blue curious curious friendly robot",1,7,7,"(6, 7)",1
"that apple liked this blue curious curious friendly robot",2,6,6,"(6, 8)",0
"that apple liked this blue curious curious friendly robot",3,5,5,"(5, 8)",0
"that apple liked this blue curious curious friendly robot",4,4,4,"(3, 7)",0
"that apple liked this blue curious curious friendly robot",5,3,3,"(3, 8)",1
"that apple liked this blue curious curious friendly robot",6,2,2,"(0, 2)",1
"that apple liked this blue curious curious friendly robot",7,1,1,"(0, 8)",1
"a teacher admired the book with a tall blue book",0,9,9,"(0, 1)",1
"a teacher admired the book with a tall blue book",1,8,8,"(3, 4)",1
"a teacher admired the book with a tall blue book",2,7,7,"(7, 8)",1
"a teacher admired the book with a tall blue book",3,6,6,"(7, 9)",1
"a teacher admired the book with a tall blue book",4,5,5,"(6, 9)",1
"a teacher admired the book with a tall blue book",5,4,4,"(5, 9)",1
"a teacher admired the book with a tall blue book",6,3,3,"(0, 2)",1
"a teacher admired the book with a tall blue book",7,2,2,"(0, 4)",1
"a teacher admired the book with a tall blue book",8,1,1,"(0, 9)",1
"a boy carried a ancient ancient apple without a robot",0,9,9,"(0, 1)",1
"a boy carried a ancient ancient apple without a robot",1,8,8,"(8, 9)",1
"a boy carried a ancient ancient apple without a robot",2,7,7,"(8, 9)",1
"a boy carried a ancient ancient apple without a robot",3,6,6,"(8, 9)",1
"a boy carried a ancient ancient apple without a robot",4,5,5,"(8, 9)",1
"a boy carried a ancient ancient apple without a robot",5,4,4,"(7, 9)",1
"a boy carried a ancient ancient apple without a robot",6,3,3,"(3, 9)",0
"a boy carried a ancient ancient apple without a robot",7,2,2,"(0, 6)",1
"a boy carried a ancient ancient apple without a robot",8,1,1,"(0, 9)",1
"this boy admired the book who admired near the girl",0,9,9,"(8, 9)",1
"this boy admired the book who admired near the girl",1,8,8,"(8, 9)",1
"this boy admired the book who admired near the girl",2,7,7,"(3, 4)",0
"this boy admired the book who admired near the girl",3,6,6,"(3, 4)",0
"this boy admired the book who admired near the girl",4,5,5,"(3, 4)",0
"this boy admired the book who admired near the girl",5,4,4,"(3, 4)",0
"this boy admired the book who admired near the girl",6,3,3,"(3, 9)",1
"this boy admired the book who admired near the girl",7,2,2,"(0, 2)",1
