sentence,gold_brackets,pred_brackets,tp,fp,fn
"a cat found a small big dog","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"a small lazy man chased","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"a quick quick telescope chased a red small man","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]",8,0,0
"the telescope liked a cat in a quick red woman","[(0, 1), (0, 2), (0, 4), (0, 9), (3, 4), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 1), (0, 2), (0, 4), (0, 5), (0, 9), (3, 4), (6, 9), (7, 8), (7, 9)]",8,1,1
"the telescope chased a small lazy telescope in a dog","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 6), (0, 7), (0, 9), (3, 6), (4, 5), (4, 6), (8, 9)]",8,1,1
"a cat saw the quick quick telescope on a park","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 9), (3, 9), (4, 5), (4, 6), (4, 9), (7, 9), (8, 9)]",7,2,2
"the small small park liked","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"the quick lazy lazy telescope saw a red quick man","[(0, 4), (0, 5), (0, 9), (1, 3), (1, 4), (2, 3), (6, 9), (7, 8), (7, 9)]","[(0, 4), (0, 5), (0, 9), (1, 3), (1, 4), (2, 3), (6, 9), (7, 8), (7, 9)]",9,0,0
"the woman chased","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"a big red quick dog admired the red small woman","[(0, 4), (0, 5), (0, 9), (1, 3), (1, 4), (2, 3), (6, 9), (7, 8), (7, 9)]","[(0, 4), (0, 5), (0, 9), (1, 3), (1, 4), (2, 3), (6, 9), (7, 8), (7, 9)]",9,0,0
"a dog admired the small small dog","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"the lazy lazy quick man chased a quick big telescope","[(0, 4), (0, 5), (0, 9), (1, 3), (1, 4), (2, 3), (6, 9), (7, 8), (7, 9)]","[(0, 4), (0, 5), (0, 9), (1, 3), (1, 4), (2, 3), (6, 9), (7, 8), (7, 9)]",9,0,0
"a red small dog admired","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"the red lazy big cat admired","[(0, 4), (0, 5), (1, 3), (1, 4), (2, 3)]","[(0, 4), (0, 5), (1, 4), (2, 3), (2, 4)]",4,1,1
"the big lazy woman chased the dog","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"the dog saw the red small park","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"the red big woman liked a woman","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"the small small telescope found a small red woman","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]",8,0,0
"the park chased a lazy small dog in a dog","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]",9,0,0
"a woman chased the dog","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"the quick quick woman found the lazy small telescope","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]",8,0,0
"the small quick lazy red dog chased a cat","[(0, 5), (0, 6), (0, 8), (1, 4), (1, 5), (2, 4), (3, 4), (7, 8)]","[(0, 5), (0, 6), (0, 8), (1, 4), (1, 5), (2, 4), (3, 4), (7, 8)]",8,0,0
"a woman liked","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"a red red man found","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"the park chased the red small park","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"a cat found","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"the red quick woman saw the woman","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,2
"the dog found a man","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"the small big park liked","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"a woman saw","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
